ID Keluhan,Tanggal Masuk,Keluhan,Dinas Terkait,Topik Keluhan,keluhan_clean,topik_clean,teks_gabungan,is_spam,prioritas,is_spam_rule,prioritas_rule,is_spam_train,is_spam_pred,prioritas_pred
1,2 Januari 2023,Keberadaan PKL, anak kecil yang bermain bola di jalan kampung, dan grobak sampah di pinggir jalan,keberadaan pkl,dan grobak sampah di pinggir jalan,dan grobak sampah di pinggir jalan keberadaan pkl,0,Sedang,0,Sedang,0,0,Sedang
2,2 Januari 2023,Polusi suara warung kopi Podo Tresno dan Warkop Keysa,Dinas Lingkungan Hidup,Polusi Suara,polusi suara warung kopi podo tresno dan warkop keysa,polusi suara,polusi suara polusi suara warung kopi podo tresno dan warkop keysa,0,Sedang,0,Sedang,0,0,Sedang
3,3 Januari 2023,Penyerobotan tanah,Badan Pertanahan Nasional (BPN),Tanah,penyerobotan tanah,tanah,tanah penyerobotan tanah,1,Spam,0,Sedang,1,1,Spam
4,9 Januari 2023,Tiang bambu bendera partai yang membahayakan pengendara di sisi fly over,Dinas Perhubungan,Infrastruktur,tiang bambu bendera partai yang membahayakan pengendara di sisi fly over,infrastruktur,infrastruktur tiang bambu bendera partai yang membahayakan pengendara di sisi fly over,0,Sedang,1,Tinggi,0,0,Sedang
5,9 Januari 2023,PKL yang berjualan di depan pintu masuk Griya Santa Blok N,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),PKL,pkl yang berjualan di depan pintu masuk griya santa blok n,pkl,pkl pkl yang berjualan di depan pintu masuk griya santa blok n,0,Sedang,1,Sedang,0,0,Sedang
6,11 Januari 2023,Polusi suara warung sekitar Tawira,Dinas Lingkungan Hidup,Polusi Suara,polusi suara warung sekitar tawira,polusi suara,polusi suara polusi suara warung sekitar tawira,0,Sedang,0,Sedang,0,0,Sedang
7,12 Januari 2023,Papan reklame bando yang sudah tidak layak/rapuh,Dinas Perhubungan,Reklame,papan reklame bando yang sudah tidak layakrapuh,reklame,reklame papan reklame bando yang sudah tidak layakrapuh,0,Rendah,1,Rendah,0,0,Rendah
8,16 Januari 2023,Permohonan penertiban PKL di sepanjang Jl. Bandung depan sekolah MIN 1, MTsN 1, MAN2,permohonan penertiban pkl di sepanjang jl bandung depan sekolah min,man,man permohonan penertiban pkl di sepanjang jl bandung depan sekolah min,0,Sedang,0,Sedang,0,0,Sedang
9,17 Januari 2023,Polusi suara Unmer,Dinas Lingkungan Hidup,Polusi Suara,polusi suara unmer,polusi suara,polusi suara polusi suara unmer,0,Sedang,0,Sedang,0,0,Sedang
10,6 Januari 2023,Polusi suara musik Cafe IU,Dinas Lingkungan Hidup,Polusi Suara,polusi suara musik cafe iu,polusi suara,polusi suara polusi suara musik cafe iu,0,Sedang,0,Sedang,0,0,Sedang
11,19 Januari 2023,Bendera parpol yang mengganggu,Dinas Perhubungan,Reklame,bendera parpol yang mengganggu,reklame,reklame bendera parpol yang mengganggu,1,Spam,1,Rendah,1,1,Spam
12,20 Januari 2023,Keberadaan PKL di sepanjang pintu masuk/pagar RSSA Saiful Anwar,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),PKL,keberadaan pkl di sepanjang pintu masukpagar rssa saiful anwar,pkl,pkl keberadaan pkl di sepanjang pintu masukpagar rssa saiful anwar,0,Sedang,0,Sedang,0,0,Sedang
13,20 Januari 2023,ODGJ yang meresahkan,Dinas Sosial,ODGJ,odgj yang meresahkan,odgj,odgj odgj yang meresahkan,0,Tinggi,1,Tinggi,0,0,Tinggi
14,30 Januari 2023,Talang air bocor mengalir ke rumah tetangga,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),Air,talang air bocor mengalir ke rumah tetangga,air,air talang air bocor mengalir ke rumah tetangga,0,Sedang,0,Sedang,0,0,Sedang
15,1 Februari 2023,Reklame tetap yang diduga tidak berizin,Dinas Perhubungan,Reklame,reklame tetap yang diduga tidak berizin,reklame,reklame reklame tetap yang diduga tidak berizin,0,Rendah,1,Rendah,0,0,Rendah
16,13 Februari 2023,Reklame yang membahayakan pengguna jalan,Dinas Perhubungan,Reklame,reklame yang membahayakan pengguna jalan,reklame,reklame reklame yang membahayakan pengguna jalan,0,Rendah,1,Rendah,0,0,Rendah
17,1 Februari 2023,Penggunaan fasilitas umum/PSU untuk kepentingan pribadi,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),Infrastruktur,penggunaan fasilitas umumpsu untuk kepentingan pribadi,infrastruktur,infrastruktur penggunaan fasilitas umumpsu untuk kepentingan pribadi,1,Spam,1,Tinggi,1,1,Spam
18,1 Februari 2023,Pembangunan pos di atas saluran air,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),Air,pembangunan pos di atas saluran air,air,air pembangunan pos di atas saluran air,0,Sedang,0,Sedang,0,0,Sedang
19,21 Februari 2023,Reklame yang diduga provokatif (Anis),Dinas Perhubungan,Reklame,reklame yang diduga provokatif anis,reklame,reklame reklame yang diduga provokatif anis,0,Rendah,1,Rendah,0,0,Rendah
20,26 Januari 2023,Permohonan penertiban bangunan yang menempati lahan orang lain (Hajj Chicken),Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),Infrastruktur,permohonan penertiban bangunan yang menempati lahan orang lain hajj chicken,infrastruktur,infrastruktur permohonan penertiban bangunan yang menempati lahan orang lain hajj chicken,0,Sedang,1,Tinggi,0,0,Sedang
21,1 Februari 2023,Pohon dan pot bunga di atas fasilitas umum,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),Infrastruktur,pohon dan pot bunga di atas fasilitas umum,infrastruktur,infrastruktur pohon dan pot bunga di atas fasilitas umum,0,Sedang,0,Tinggi,0,0,Sedang
22,9 Februari 2023,Permohonan penertiban PKL di fasilitas umum,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),PKL,permohonan penertiban pkl di fasilitas umum,pkl,pkl permohonan penertiban pkl di fasilitas umum,0,Sedang,0,Sedang,0,0,Sedang
23,8 Februari 2023,Pemberitahuan aset Pemkot yang dipergunakan masyarakat untuk warung/bedak,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),Infrastruktur,pemberitahuan aset pemkot yang dipergunakan masyarakat untuk warungbedak,infrastruktur,infrastruktur pemberitahuan aset pemkot yang dipergunakan masyarakat untuk warungbedak,0,Sedang,1,Tinggi,0,0,Sedang
24,21 Februari 2023,Permohonan penertiban reklame tetap yang mengganggu akses jalan,Dinas Perhubungan,Reklame,permohonan penertiban reklame tetap yang mengganggu akses jalan,reklame,reklame permohonan penertiban reklame tetap yang mengganggu akses jalan,1,Spam,1,Rendah,1,1,Spam
25,26 Februari 2023,Pemondokan bebas,Dinas Sosial,Sosial,pemondokan bebas,sosial,sosial pemondokan bebas,1,Spam,1,Sedang,1,1,Spam
26,28 Februari 2023,Reklame rusak yang membahayakan pengguna jalan,Dinas Perhubungan,Reklame,reklame rusak yang membahayakan pengguna jalan,reklame,reklame reklame rusak yang membahayakan pengguna jalan,0,Rendah,1,Rendah,0,0,Rendah
27,28 Februari 2023,Keberadaan PKL di jalur hijau,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),PKL,keberadaan pkl di jalur hijau,pkl,pkl keberadaan pkl di jalur hijau,0,Sedang,0,Sedang,0,0,Sedang
28,4 Maret 2023,Polusi suara kegaduhan supermarket Alfa X,Dinas Lingkungan Hidup,Polusi Suara,polusi suara kegaduhan supermarket alfa x,polusi suara,polusi suara polusi suara kegaduhan supermarket alfa x,0,Sedang,0,Sedang,0,0,Sedang
29,7 Maret 2023,Gangguan Trantibum di Perumahan Akhtara Residence,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),Sosial,gangguan trantibum di perumahan akhtara residence,sosial,sosial gangguan trantibum di perumahan akhtara residence,1,Spam,0,Sedang,1,1,Spam
30,13 Maret 2023,Polusi suara di Kabukicho,Dinas Lingkungan Hidup,Polusi Suara,polusi suara di kabukicho,polusi suara,polusi suara polusi suara di kabukicho,0,Sedang,0,Sedang,0,0,Sedang
31,20 Maret 2023,Keberadaan rumah pohon di fasum,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),Infrastruktur,keberadaan rumah pohon di fasum,infrastruktur,infrastruktur keberadaan rumah pohon di fasum,0,Sedang,0,Tinggi,0,0,Sedang
32,20 Maret 2023,Kabel yang menjuntai di tengah jalan,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),Infrastruktur,kabel yang menjuntai di tengah jalan,infrastruktur,infrastruktur kabel yang menjuntai di tengah jalan,0,Sedang,1,Tinggi,0,0,Sedang
33,20 Maret 2023,Warung nasi goreng yang dicampur dengan daging babi,Dinas Kesehatan,Makanan,warung nasi goreng yang dicampur dengan daging babi,makanan,makanan warung nasi goreng yang dicampur dengan daging babi,1,Spam,1,Sedang,1,1,Spam
34,21 Maret 2023,Warung yang berdiri di RTH dan parkir liar,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),Infrastruktur,warung yang berdiri di rth dan parkir liar,infrastruktur,infrastruktur warung yang berdiri di rth dan parkir liar,0,Sedang,1,Tinggi,0,0,Sedang
35,29 Maret 2023,Spanduk penolakan satu arah Kayutangan,Dinas Perhubungan,Reklame,spanduk penolakan satu arah kayutangan,reklame,reklame spanduk penolakan satu arah kayutangan,1,Spam,0,Rendah,1,1,Spam
36,2023-04-03 00:00:00,ODGJ yang meresahkan warga,Dinas Sosial,ODGJ,odgj yang meresahkan warga,odgj,odgj odgj yang meresahkan warga,0,Tinggi,1,Tinggi,0,0,Tinggi
37,2023-04-17 00:00:00,Gangguan Trantibum dari Café Janimani,Dinas Lingkungan Hidup,Polusi Suara,gangguan trantibum dari caf janimani,polusi suara,polusi suara gangguan trantibum dari caf janimani,1,Spam,0,Sedang,1,1,Spam
38,2023-04-27 00:00:00,Bangunan liar di fasilitas umum,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),Infrastruktur,bangunan liar di fasilitas umum,infrastruktur,infrastruktur bangunan liar di fasilitas umum,0,Sedang,0,Tinggi,0,0,Sedang
39,7 Mei 2023,ODGJ yang meresahkan warga,Dinas Sosial,ODGJ,odgj yang meresahkan warga,odgj,odgj odgj yang meresahkan warga,0,Tinggi,1,Tinggi,0,0,Tinggi
40,11 Mei 2023,Penutupan jalan (kegiatan pengajian),Dinas Perhubungan,Infrastruktur,penutupan jalan kegiatan pengajian,infrastruktur,infrastruktur penutupan jalan kegiatan pengajian,0,Sedang,0,Tinggi,0,0,Sedang
41,9 Mei 2023,Permohonan penertiban PKL di lahan Pemkot,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),PKL,permohonan penertiban pkl di lahan pemkot,pkl,pkl permohonan penertiban pkl di lahan pemkot,0,Sedang,0,Sedang,0,0,Sedang
42,11 Mei 2023,Gangguan Trantibum dari pengamen angklung,Dinas Sosial,Sosial,gangguan trantibum dari pengamen angklung,sosial,sosial gangguan trantibum dari pengamen angklung,1,Spam,0,Sedang,1,1,Spam
43,22 Mei 2023,Tunawisma sakit yang terlantar,Dinas Sosial,Sosial,tunawisma sakit yang terlantar,sosial,sosial tunawisma sakit yang terlantar,0,Sedang,1,Sedang,0,0,Sedang
44,22 Mei 2023,Gangguan Trantibum dari pengunjung rental PS Quantum yang teriak dan berkata kotor,Dinas Lingkungan Hidup,Polusi Suara,gangguan trantibum dari pengunjung rental ps quantum yang teriak dan berkata kotor,polusi suara,polusi suara gangguan trantibum dari pengunjung rental ps quantum yang teriak dan berkata kotor,1,Spam,1,Sedang,1,1,Spam
45,24 Mei 2023,Barang-barang bengkel Sodo Sakti yang memakan jalan dan membahayakan pengguna jalan,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),Infrastruktur,barangbarang bengkel sodo sakti yang memakan jalan dan membahayakan pengguna jalan,infrastruktur,infrastruktur barangbarang bengkel sodo sakti yang memakan jalan dan membahayakan pengguna jalan,0,Sedang,1,Tinggi,0,0,Sedang
46,26 Mei 2023,Permohonan penertiban PKL di atas fasilitas umum,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),PKL,permohonan penertiban pkl di atas fasilitas umum,pkl,pkl permohonan penertiban pkl di atas fasilitas umum,0,Sedang,0,Sedang,0,0,Sedang
47,29 Mei 2023,ODGJ yang meresahkan warga,Dinas Sosial,ODGJ,odgj yang meresahkan warga,odgj,odgj odgj yang meresahkan warga,0,Tinggi,1,Tinggi,0,0,Tinggi
48,26 Mei 2023,Permohonan penertiban PKL,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),PKL,permohonan penertiban pkl,pkl,pkl permohonan penertiban pkl,0,Sedang,0,Sedang,0,0,Sedang
49,24 Mei 2023,Gangguan polusi suara dari sound sistem warung Saya Sayang,Dinas Lingkungan Hidup,Polusi Suara,gangguan polusi suara dari sound sistem warung saya sayang,polusi suara,polusi suara gangguan polusi suara dari sound sistem warung saya sayang,1,Spam,1,Sedang,1,1,Spam
50,12 Juni 2023,Permohonan penertiban bangunan semi permanen PKL di atas fasum,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),PKL,permohonan penertiban bangunan semi permanen pkl di atas fasum,pkl,pkl permohonan penertiban bangunan semi permanen pkl di atas fasum,0,Sedang,0,Sedang,0,0,Sedang
51,12 Juni 2023,Rental PS Treebox yang menyediakan VIP room,Dinas Lingkungan Hidup,Sosial,rental ps treebox yang menyediakan vip room,sosial,sosial rental ps treebox yang menyediakan vip room,0,Sedang,1,Sedang,0,0,Sedang
52,6 Juni 2023,Polusi udara akibat pembakaran sampah,Dinas Lingkungan Hidup,Polusi Udara,polusi udara akibat pembakaran sampah,polusi udara,polusi udara polusi udara akibat pembakaran sampah,0,Sedang,0,Sedang,0,0,Sedang
53,22 Juni 2023,PKL yang mengganggu akses mobilitas ke dalam rumah/usaha,Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),PKL,pkl yang mengganggu akses mobilitas ke dalam rumahusaha,pkl,pkl pkl yang mengganggu akses mobilitas ke dalam rumahusaha,1,Spam,1,Sedang,1,1,Spam
54,10 Juli 2023,Permohonan penertiban PKL semi permanen di fasilitas umum (trotoar),Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),PKL,permohonan penertiban pkl semi permanen di fasilitas umum trotoar,pkl,pkl permohonan penertiban pkl semi permanen di fasilitas umum trotoar,0,Sedang,0,Sedang,0,0,Sedang
55,17 Juli 2023,Papan reklame/baliho yang menghalangi pandangan pengendara di tikungan,Dinas Perhubungan,Reklame,papan reklamebaliho yang menghalangi pandangan pengendara di tikungan,reklame,reklame papan reklamebaliho yang menghalangi pandangan pengendara di tikungan,1,Spam,1,Rendah,1,1,Spam
56,17 Juli 2023,Keberadaan jemuran, kandang ayam, tumpukan barang bekas di sekitar makam,keberadaan jemuran,tumpukan barang bekas di sekitar makam,tumpukan barang bekas di sekitar makam keberadaan jemuran,0,Sedang,0,Sedang,0,0,Sedang
57,24 Juli 2023,Reklame tetap yang menutupi rambu lalu lintas,Dinas Perhubungan,Reklame,reklame tetap yang menutupi rambu lalu lintas,reklame,reklame reklame tetap yang menutupi rambu lalu lintas,0,Rendah,1,Rendah,0,0,Rendah
58,24 Juli 2023,Reklame baliho APK yang tidak berizin,Dinas Perhubungan,Reklame,reklame baliho apk yang tidak berizin,reklame,reklame reklame baliho apk yang tidak berizin,0,Rendah,1,Rendah,0,0,Rendah
59,21 Juli 2023,Keberadaan badut yang meminta-minta dengan membawa anak kecil,Dinas Sosial,Sosial,keberadaan badut yang memintaminta dengan membawa anak kecil,sosial,sosial keberadaan badut yang memintaminta dengan membawa anak kecil,1,Spam,1,Sedang,1,1,Spam
60,26 Juli 2023,Polusi suara dan polusi udara dari usaha industri kayu,Dinas Lingkungan Hidup,Polusi Suara,polusi suara dan polusi udara dari usaha industri kayu,polusi suara,polusi suara polusi suara dan polusi udara dari usaha industri kayu,0,Sedang,0,Sedang,0,0,Sedang
61,31 Juli 2023,Keberadaan rombong es degan yang mengganggu lingkungan,Dinas Lingkungan Hidup,Sosial,keberadaan rombong es degan yang mengganggu lingkungan,sosial,sosial keberadaan rombong es degan yang mengganggu lingkungan,1,Spam,1,Sedang,1,1,Spam
62,3 Agustus 2023,PKL di atas fasilitas umum (saluran air),Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),PKL,pkl di atas fasilitas umum saluran air,pkl,pkl pkl di atas fasilitas umum saluran air,0,Sedang,0,Sedang,0,0,Sedang
63,1 Agustus 2023,Reklame tema politik yang mengganggu pengendara,Dinas Perhubungan,Reklame,reklame tema politik yang mengganggu pengendara,reklame,reklame reklame tema politik yang mengganggu pengendara,1,Spam,1,Rendah,1,1,Spam
64,21 Agustus 2023,Reklame insidentil,Dinas Perhubungan,Reklame,reklame insidentil,reklame,reklame reklame insidentil,1,Spam,0,Rendah,1,1,Spam
65,21 Agustus 2023,PKL di atas fasilitas umum (badan jalan),Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR),PKL,pkl di atas fasilitas umum badan jalan,pkl,pkl pkl di atas fasilitas umum badan jalan,0,Sedang,0,Sedang,0,0,Sedang
66,24 Agustus 2023,Polusi suara dari aktivitas warung Wow,Dinas Lingkungan Hidup,Polusi Suara,polusi suara dari aktivitas warung wow,polusi suara,polusi suara polusi suara dari aktivitas warung wow,0,Sedang,0,Sedang,0,0,Sedang
67,24 Agustus 2023,Dugaan pencurian listrik oleh usaha fotocopy di parkiran Satpas SIM,Perusahaan Listrik Negara (PLN),Listrik,dugaan pencurian listrik oleh usaha fotocopy di parkiran satpas sim,listrik,listrik dugaan pencurian listrik oleh usaha fotocopy di parkiran satpas sim,0,Sedang,0,Tinggi,0,0,Sedang
